Category,5-Jan-19,12-Jan-19,19-Jan-19,26-Jan-19,2-Feb-19,9-Feb-19,16-Feb-19,23-Feb-19,2-Mar-19,9-Mar-19,16-Mar-19,23-Mar-19,30-Mar-19,6-Apr-19,13-Apr-19,20-Apr-19,27-Apr-19,4-May-19,11-May-19,18-May-19,25-May-19,1-Jun-19,8-Jun-19,15-Jun-19,22-Jun-19,29-Jun-19,6-Jul-19,13-Jul-19,20-Jul-19,27-Jul-19,3-Aug-19,10-Aug-19,17-Aug-19,24-Aug-19,31-Aug-19,7-Sep-19,14-Sep-19,21-Sep-19,28-Sep-19,5-Oct-19,12-Oct-19,19-Oct-19,26-Oct-19,2-Nov-19,9-Nov-19,16-Nov-19,23-Nov-19,30-Nov-19,7-Dec-19,14-Dec-19,21-Dec-19,28-Dec-19,4-Jan-20,11-Jan-20,18-Jan-20,25-Jan-20,1-Feb-20,8-Feb-20,15-Feb-20,22-Feb-20,29-Feb-20,7-Mar-20,14-Mar-20,21-Mar-20,28-Mar-20,4-Apr-20,11-Apr-20,18-Apr-20,25-Apr-20,2-May-20,9-May-20,16-May-20,23-May-20,30-May-20,6-Jun-20,13-Jun-20,20-Jun-20,27-Jun-20,4-Jul-20,11-Jul-20,18-Jul-20,25-Jul-20,1-Aug-20,8-Aug-20,15-Aug-20,22-Aug-20,29-Aug-20,4-Jan-21,11-Jan-21,18-Jan-21,25-Jan-21,1-Feb-21,8-Feb-21,15-Feb-21,22-Feb-21,1-Mar-21,8-Mar-21,15-Mar-21,22-Mar-21,29-Mar-21,5-Apr-21,12-Apr-21,19-Apr-21,26-Apr-21,3-May-21,10-May-21,17-May-21,24-May-21,31-May-21,7-Jun-21,14-Jun-21,21-Jun-21
Acne,14969813,15488855,15522357,15054219,14585357,14753443,14809032,15195875,16148805,15761762,15697616,15856264,15754512,16387338,15726395,15529435,15136407,15649795,15415456,14853372,15215672,14862856,15529820,15259908,15009525,15686963,15098374,15504599,15541677,15348524,15749047,16040242,16511814,16311048,15287821,14969626,14043523,14161737,13701302,14524265,13856977,14191497,13765152,13791322,15139045,14450238,14029279,13113913,14821790,14665704,15872080,15102592,14818720,15377203,14926075,15018262,14313889,14507843,14913296,15057979,16056085,17497769,17445158,15644868,12345392,12329168,11968714,13210771,14157228,14539581,15250643,14052684,14295560,13448889,12957703,13649477,13583446,13166113,13221872,13201818,13668104,13509052,13517117,13979460,13920768,13697476,13103453,7096447.41,6996758.37,6998077.84,6364609.92,6280005.65,6285080.9,5933833.29,6988581.28,6930166.27,6813433.36,7347705.01,7421839.83,7472053.41,6871844.22,7168314.2,6804803.45,6338797.51,6221003.71,6161488.2,6484463.04,6622980.76,6564619.3,6727304.43,6976630.14,6852588.56
acne_promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baby,1417338,1515492,1562793,1555259,1638797,1531476,1454065,1658709,1854319,1660044,1587715,1595102,1583858,1710817,1624678,1633055,1459229,1604103,1466767,1509073,1492706,1495816,1485252,1504378,1470479,1519383,1521847,1575206,1452935,1484797,1502300,1485948,1443711,1396680,1407429,1418359,1429539,1425185,1357428,1472681,1443289,1532107,1396621,1489070,1649002,1650956,1633063,1464277,1466838,1537529,1611015,1500070,1467789,1476808,1709888,1583039,1600738,1541259,1555791,1577328,1913518,2118483,2524485,2239152,1345423,1417071,1428038,1867355,2015243,1870003,1712582,1664694,1598468,1460170,1526659,1597245,1599795,1474146,1554193,1565303,1568136,1518454,1478396,1475374,1498834,1514197,1574562,130584.92,120205.43,129637.85,110402.16,132778.12,112433.44,126059.54,121854.45,132943.43,154096.64,141344.75,159535.22,165261.95,152540.89,154185.44,164551.25,135085.59,133168.42,131380.27,151697.29,135258.65,131589.5,143072.75,155263.75,132207.15
baby_promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bath,55558,59528,56189,56073,60760,61017,60160,67015,74080,77225,74742,77710,76454,70660,57780,58383,71101,79180,77032,78935,88398,97566,91039,93654,93102,99510,109555,108150,98202,96184,95168,90067,89089,83162,85933,88450,85564,80768,78364,81496,75612,78765,74235,72128,80467,80538,81932,68855,74423,76028,79871,75846,83574,83987,80617,80607,80607,83397,82542,79762,87924,86876,84540,79154,68766,75692,75411,85583,97673,97210,102138,98733,96631,99761,96814,106164,98905,95631,102159,100110,93145,93047,91177,90298,91522,85806,86022,,,,,,,,,,,,,,,,,,,,0,,,,,
bath_promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Body Wash,1491216,1599429,1409114,1387046,1479577,1465815,1497609,1444946,1639711,1586401,1534652,1596166,1612390,1556385,1559376,1479863,1492010,1499764,1518576,1452737,1501322,1503943,1637119,1641473,1574016,1653472,1643095,1584902,1547263,1537179,1545613,1541775,1668123,1583493,1573290,1501457,1534574,1490839,1468713,1546284,1472072,1589395,1511048,1530349,1638544,1664136,1732167,1661508,1806760,2000692,2212613,2331515,1505258,1636115,1574990,1577529,1572605,1539441,1573642,1539237,1729684,1861272,2308611,2250733,1500311,1457925,1396156,1451685,1559700,1490916,1491087,1414701,1441509,1370131,1332480,1501661,1535453,1538969,1607592,1578106,1604164,1543165,1537847,1604756,1644669,1593675,1575457,118985.46,105676.94,107438.44,104470.63,105202.69,105039.08,101434.68,113776.85,121870.73,123469.07,133029.46,122838.38,133324.56,125641.82,123449.31,157214.09,111118.76,113967.83,145302.85,121195.58,117380.9,133400.64,112651.4,114769.87,120486.6
body_promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair,929666,1042393,1048880,1104388,1235337,1292378,1292770,1303864,1268157,1284694,1231471,1222460,1263294,1262667,1256853,1277508,1203888,1285200,1270683,1260317,1251670,1260136,1409246,1420660,1365558,1393159,1299083,1273270,1239521,1225637,1234171,1252587,1273666,1270380,1220254,1218478,1229316,1235410,1228579,1262559,1232313,1243947,1208935,1211281,1236444,1165728,1180675,1108079,1218453,1240764,1288881,1158691,1234325,1280615,1266383,1272472,1278686,1234087,1219155,1229183,1316133,1368177,1427895,1314450,1005252,1041217,1027997,1120642,1222898,1252929,1258279,1204318,1218221,1156946,1169914,1225813,1225980,1178569,1197964,1212999,1246198,1222028,1205126,1262681,1283714,1280896,1270083,508256.74,486881.11,498317.29,467946.56,475095.21,464598.43,445111.01,502913.13,496149.84,498192.09,515026.07,519205.16,518459.75,474082.86,509027.41,492590.18,477175.4,463360.27,452216.24,419530.93,390297.97,373280.43,385543.03,376571.49,382254.03
hair_promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
